dataset_id,name,description,category,publisher,jurisdiction,geographic_coverage,source_url,api_url,download_url,portal_type,format,licence,attribution_requirement,signup_required,api_key_required,pricing_free_allowance,update_frequency,last_updated,bulk_download_available,automated_access_allowed,recommended_ric_integration_method,priority,expected_user_value,import_difficulty,trust_policy,enabled_state,notes,current_status,cost_type,connector_key,local_raw_path,paging_method,geographic_query_support,rate_limits,daily_cap,monthly_cap,monthly_budget_aud
au_national_public_toilet_map,National Public Toilet Map,National public toilet facilities including accessibility attributes; DumpPoint column identifies dump-point capable facilities.,public_toilets,"Department of Health, Disability and Ageing (via data.gov.au)",AU,Australia,https://data.gov.au/data/dataset/national-public-toilet-map,https://data.gov.au/data/api/3/action,https://data.gov.au/data/dataset/553b3049-2b8b-46a2-95e6-640d7986a8c1/resource/34076296-6692-4e30-b627-67b7c4eb1027/download/,ckan,csv,CC BY 3.0 AU,© Commonwealth of Australia — National Public Toilet Map (data.gov.au),False,False,free open data where licence permits,monthly,2026-08-02T01:02:14.556347,True,True,national_public_toilet_map,critical,critical,low,trusted_review,True,Stable CKAN resource_id 34076296-6692-4e30-b627-67b7c4eb1027. Validated Batehaven NSW toilets + Corrigans Beach dump point in live CSV.,download_ready,free,national_public_toilet_map,raw/au_national_public_toilet_map/Toiletmap.csv,single CSV resource; optional datastore SQL if enabled,False,,0,0,0.0
portal_osm_australia,OpenStreetMap Australia (Geofabrik extract),"Geofabrik Australia OSM PBF extract for offline enrichment of parks, campgrounds, toilets, dump points, fuel and EV features.",openstreetmap,OpenStreetMap contributors / Geofabrik,AU,Australia,https://download.geofabrik.de/australia-oceania/australia.html,,https://download.geofabrik.de/australia-oceania/australia-latest.osm.pbf,geofabrik,osm.pbf,ODbL 1.0,© OpenStreetMap contributors,False,False,free open data where licence permits,daily extract,,True,True,osm_australia_extract,critical,critical,high,community_review,True,~900MB+ PBF. Metadata and reproducible download script only by default; do not commit the PBF. Prefer local pack / fixture for demos.,download_ready,free,osm_australia_extract,raw/geofabrik_australia/,,False,,0,0,0.0
nsw_rest_areas,NSW Rest Areas,Transport for NSW rest areas including amenities attributes and coordinates.,rest_areas,Transport for NSW,NSW,New South Wales,https://data.gov.au/data/dataset/nsw-2-nsw-rest-areas,https://opendata.transport.nsw.gov.au/,https://opendata.transport.nsw.gov.au/data/dataset/37a56f96-feb7-49c4-9a7d-06957ccf7368/resource/6f2bcede-9d55-4315-b609-dffa30510894/download/rest-areas-csv-format.csv,ckan,csv,CC BY 3.0 AU,© Transport for NSW — NSW Rest Areas,False,False,free open data where licence permits,as published,,True,True,offline_pack,critical,high,low,trusted_review,False,Also listed on data.gov.au as nsw-2-nsw-rest-areas. CSV download verified 2026-08-04.,download_ready,free,gov_open_data_pack,raw/nsw_rest_areas/rest-areas-csv-format.csv,,False,,0,0,0.0
nsw_boat_ramps,Maritime NSW Boat Ramps,NSW boat ramp locations and amenity attributes.,boat_ramps,Transport for NSW,NSW,New South Wales,https://data.gov.au/data/dataset/nsw-2-maritime-nsw-boat-ramps,https://opendata.transport.nsw.gov.au/,https://opendata.transport.nsw.gov.au/data/dataset/912cd680-15ed-4be5-9d09-1a9d0f15e6ee/resource/e7537c27-d2d1-4666-b058-b586e8732236/download/boating_ramps.csv,ckan,csv,CC BY 3.0 AU,© Transport for NSW — Maritime NSW Boat Ramps,False,False,free open data where licence permits,as published,,True,True,offline_pack,medium,medium,low,trusted_review,False,,download_ready,free,gov_open_data_pack,raw/nsw_boat_ramps/boating_ramps.csv,,False,,0,0,0.0
nsw_ev_charging_locations,EV Charging Locations (NSW),Public EV charging locations published by Transport for NSW.,ev_charging,Transport for NSW,NSW,New South Wales,https://data.gov.au/data/dataset/nsw-2-ev-charging-locations,https://opendata.transport.nsw.gov.au/,https://opendata.transport.nsw.gov.au/data/dataset/be1c4de4-4517-4bd0-8a09-2965ddfc7179/resource/7bbb6461-e52d-4fe7-ace4-a15c30198de0/download/ev_20251216.csv,ckan,csv,CC BY 3.0 AU,© Transport for NSW — EV Charging Locations,False,False,free open data where licence permits,as published,,True,True,offline_pack,medium,medium,low,trusted_review,False,,download_ready,free,gov_open_data_pack,raw/nsw_ev_charging_locations/ev_charging_locations.csv,,False,,0,0,0.0
gold_coast_caravan_parks,City of Gold Coast Caravan Parks,Council-published caravan park locations (GeoJSON WFS).,caravan_parks,City of Gold Coast,QLD,City of Gold Coast,https://data.gov.au/data/dataset/caravan-parks,https://data.gov.au/geoserver/caravan-parks/wfs?request=GetFeature&typeName=ckan_191d8a90_f617_481c_84fa_8c2f4b92a172&outputFormat=json,https://data.gov.au/geoserver/caravan-parks/wfs?request=GetFeature&typeName=ckan_191d8a90_f617_481c_84fa_8c2f4b92a172&outputFormat=json,wfs,geojson,CC BY 3.0 AU,© City of Gold Coast — Caravan Parks,False,False,free open data where licence permits,as published,,True,True,offline_pack,high,high,low,trusted_review,False,Council-scale sample for caravan park coverage; not national.,download_ready,free,gov_open_data_pack,raw/gold_coast_caravan_parks/caravan_parks.geojson,,False,,0,0,0.0
sa_rest_areas_state_maintained,SA Rest Areas — State Maintained,South Australia Department for Infrastructure and Transport rest areas.,rest_areas,Department for Infrastructure and Transport (SA),SA,South Australia,https://data.gov.au/data/dataset/rest-areas-state-maintained,,https://www.dptiapps.com.au/dataportal/StateMaintainedRestAreas_shp.zip,open_data,shp.zip,CC BY 3.0 AU,© Government of South Australia — Rest Areas State Maintained,False,False,free open data where licence permits,as published,,True,True,offline_pack,high,high,medium,trusted_review,False,SHP ZIP download published on data.gov.au; verify current URL before enable.,api_ready,free,gov_open_data_pack,,,False,,0,0,0.0
wa_major_rest_areas,WA Major Rest Areas,Main Roads Western Australia major rest areas / road stopping places.,rest_areas,Main Roads Western Australia,WA,Western Australia,https://data.gov.au/data/dataset/mrwa-major-rest-area,https://portal-mainroads.opendata.arcgis.com/datasets/mainroads::major-rest-area,,arcgis_hub,arcgis,CC BY 3.0 AU,© Main Roads Western Australia — Major Rest Area,False,False,free open data where licence permits,as published,,False,True,arcgis_feature,high,high,medium,trusted_review,False,"Hub landing URL is HTML, not a bulk file. Need FeatureServer layer URL before automated download.",manual_review,free,gov_open_data_pack,,,False,,0,0,0.0
portal_data_gov_au,data.gov.au,Discovery portal for VanAssist-relevant open datasets (data.gov.au).,federal_portal,data.gov.au,AU,AU,https://data.gov.au/,https://data.gov.au/data/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each data.gov.au dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_qld_open_data,Queensland Open Data,Discovery portal for VanAssist-relevant open datasets (Queensland Open Data).,state_portal,Queensland Open Data,QLD,QLD,https://www.data.qld.gov.au/,https://www.data.qld.gov.au/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each Queensland Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
