organisation_name,organisation_type,coverage,state_code,website_url,contact_role,email,source_url,source_checked_at,publication_context,relevance_reason,no_unsolicited_warning,personal_or_ambiguous,notes
Australian Caravan Club,club_federation,National,,https://australiancaravanclub.com.au/,Member Benefits,memberbenefitsdir@australiancaravanclub.com.au,https://australiancaravanclub.com.au/index.php?Itemid=167&id=1844&option=com_content&view=article,2026-07-30,"Official contact page publishes a Member Benefits role address","Free traveller utility and service discovery are directly relevant to member benefits",0,0,"Use member-benefit proposal; do not request member addresses"
Australian Caravan Club,publication,National,,https://australiancaravanclub.com.au/,NOMAD editor,editor@australiancaravanclub.com.au,https://australiancaravanclub.com.au/index.php?Itemid=167&id=1844&option=com_content&view=article,2026-07-30,"Official contact page publishes the club magazine editor address","Potential earned editorial coverage of a free national caravan traveller resource",0,0,"Editorial pitch only"
Campervan and Motorhome Club of Australia,club_federation,National,NSW,https://members.cmca.au/,Head office enquiries,enquiries@cmca.au,https://members.cmca.au/Content/contactus,2026-07-30,"Official current contact page routes general enquiries to head office","Members travel nationally and use RV services fuel and suitable stays",0,0,"Ask the club whether it wishes to review and share; do not request member data"
Campervan and Motorhome Club of Australia,publication,National,NSW,https://members.cmca.au/,The Wanderer editorial,editorial@cmca.au,https://members.cmca.au/Content/contactus,2026-07-30,"Official current contact page publishes the magazine editorial address","Potential editorial coverage of a free traveller service and stay discovery tool",0,0,"Editorial pitch only; avoid duplicate simultaneous approach to head office"
Caravan Industry Association of Australia,industry_association,National,,https://www.caravanindustry.com.au/,Marketing,marketing@caravanindustry.com.au,https://www.caravanindustry.com.au/who-we-are/,2026-07-30,"Official national industry body and published marketing role","VanAssist can support industry service discovery listing accuracy and traveller confidence",0,0,"Industry collaboration proposal"
Australian Regional Tourism,tourism_body,National,,https://regionaltourism.com.au/,Administration,admin@artn.com.au,https://regionaltourism.com.au/about/,2026-07-30,"Official national regional-tourism peak body contact","Free regional traveller utility may support visitor dispersal and confidence",0,0,"Partnership/resource enquiry only"
Tourism Australia,tourism_body,National,,https://www.tourism.australia.com/,Marketing partnerships and industry advice,ask.us@tourism.australia.com,https://www.tourism.australia.com/en/contact-us.html,2026-07-30,"Official contact page routes marketing partnership and industry advice enquiries","National free road-travel utility may be relevant as an industry resource",0,0,"Low priority formal enquiry"
Tourism Holdings Limited,rental_fleet,National,,https://www.thlonline.com/,New trade partners and API,sales@thlonline.com,https://www.thlonline.com/partnermediacentre,2026-07-30,"Official partner media centre explicitly invites new trade partner and API enquiries","Apollo Maui Britz Mighty Cheapa and Hippie customers need nearby RV services and stays",0,0,"High-priority fleet integration proposal"
Caravan World,publication,National,VIC,https://caravanworld.com.au/,Partnerships,partnerships@emprisegroup.com.au,https://caravanworld.com.au/pages/contact,2026-07-30,"Official page labels this address for advertising and partnerships","Exact caravan audience and potential distribution partnership",0,0,"Partnership pitch; editorial address is a separate target"
Caravan World,publication,National,VIC,https://caravanworld.com.au/,Editorial,content@emprisegroup.com.au,https://caravanworld.com.au/pages/contact,2026-07-30,"Official page labels this address for editorial contact","Potential earned story about free Australian caravan assistance discovery",0,0,"Editorial pitch only"
GoRV Media Group,publication,National,VIC,https://www.gorv.com.au/,Editorial and general,info@gorv.com.au,https://www.gorv.com.au/contact/,2026-07-30,"Official RV media contact page","Exact RV audience and potential editorial review of a free traveller utility",0,0,"Human-reviewed editorial pitch"
caravancampingsales,publication,National,,https://www.caravancampingsales.com.au/,Editor,editor@caravancampingsales.com.au,https://www.caravancampingsales.com.au/info/about-us/,2026-07-30,"Official publication information and editorial role address","Exact caravan buyer and traveller audience",0,0,"Earned-media pitch only"
R.M.Williams OUTBACK,publication,National,,https://www.outbackmag.com.au/,Publishing,publishing@rmwilliams.com.au,https://www.outbackmag.com.au/contact/,2026-07-30,"Official publication contact page","Regional and remote road travellers may benefit from service and stay discovery",0,0,"Lower-priority editorial pitch"
Australian Geographic Travel,publication,National,,https://australiangeographictravel.com/,Editorial,editorial@ausgeo.com.au,https://australiangeographictravel.com/get-in-touch,2026-07-30,"Official travel publication contact page","Road-trip and regional travel audience may value a free traveller utility",0,0,"Lower-priority editorial pitch"
